;t0;t4;t8;t24
Exp1C1;0.0471;0.046;0.3288;13.9331
Exp1C2;0.0612;0.0617;0.3034;14.591
Exp1S1;0.0275;0.0681;0.318;16.241
Exp1S2;0.0229;0.5578;0.3879;14.5755
Exp1A1;0.0441;0.1081;0.3774;13.6489
Exp1A2;0.0423;0.5814;0.3868;13.5626
Exp1AS1;0.0445;0.1288;0.4681;14.1875
Exp1AS2;0.0633;0.1346;0.3684;14.4249
Exp2C1;0.076;0.0956;0.1216;8.6147
Exp2C2;0.0676;0.0934;0.1155;9.9847
Exp2S1;0;0.1268;0.2881;7.3832
Exp2S2;0.079;0.114;0.2832;7.7584
Exp2A1;0.0961;0.1139;0.1161;8.6162
Exp2A2;0.0824;0.099;0.1182;7.2828
Exp2AS1;0.0739;0.1137;0.2419;10.327
Exp2AS2;0.1055;0.1001;0.2828;8.5418
Exp3C1;0.0924;0.1179;1.009;9.1039
Exp3C2;0.0971;0.123;1.0143;9.9659
Exp3S1;0.0935;0.1389;0.8404;10.9264
Exp3S2;0.1004;0.1467;0.8728;11.1338
Exp3A1;0.099;0.124;1.0788;9.8415
Exp3A2;0.0995;0.1285;1.0483;10.3988
Exp3AS1;0.096;0.1455;0.9397;11.6727
Exp3AS2;0.1035;0.1491;0.9988;11.4952
