;0;4;8;24
Exp1C1;0;0;0;0
Exp1C2;0;0;0;0
Exp1S1;0;0;0;0
Exp1S2;0;0;0;0
Exp1A1;4.6;4.76;4.67;3.3
Exp1A2;4.63;4.78;4.58;3.7
Exp1AS1;4.6;5.83;6.61;6.49
Exp1AS2;4.52;5.68;6.52;6.79
Exp2C1;0;0;0;0
Exp2C2;0;0;0;0
Exp2S1;0;0;0;0
Exp2S2;0;0;0;0
Exp2A1;4.83;4.79;5.04;3.84
Exp2A2;4.81;4.8;5.15;3.88
Exp2AS1;4.83;5.67;6.69;6.36
Exp2AS2;4.85;5.74;6.74;6.87
Exp3C1;0;0;0;0
Exp3C2;0;0;0;0
Exp3S1;0;0;0;0
Exp3S2;0;0;0;0
Exp3A1;4.91;4.67;5.72;3.67
Exp3A2;4.77;4.8;5.66;3.6
Exp3AS1;4.81;5.59;6.82;6.43
Exp3AS2;4.76;5.62;6.84;6.48
